path,role,observations,limitations,absolute_path,bytes,sha256
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (1) - exemplos femininos.png","Três combinações femininas com olho 1, rostos e cabelos selecionados","Íris castanha, pupila preta circular e reflexo branco; esclera creme. Pálpebra superior grande cobre a parte alta da íris; abertura inferior arredondada e olhar semicerrado. Da esquerda para a direita: rosto 1 + corte 1 + olho 1; rosto 2 + corte 2 + olho 1; rosto 3 + corte 3 + olho 1. Corte 1: curto assimétrico com grandes mechas pontiagudas laterais; 2: longo em camadas com franja; 3: rabo lateral baixo com franja e mechas junto ao rosto. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 1 é mais estreito/oval e de queixo menor; 2 tem contorno de mandíbula mais amplo; 3 é mais arredondado e largo. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (1) - exemplos femininos.png",1625984,e29ac43d910678664651453b676467a5fecdc9eadf1e8810c8be582d01658305
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (2) - exemplos femininos.png","Três combinações femininas com olho 2, rostos e cabelos selecionados","Íris verde clara com aro escuro e pupila preta; abertura semicerrada visualmente próxima ao olho 1. Mancha marrom/arroxeada ampla sob o olho. Da esquerda para a direita: rosto 4 + corte 4 + olho 2; rosto 5 + corte 5 + olho 2; rosto 3 + corte 6 + olho 2. Corte 4: bob reto curto com franja reta; 5: dois rabos baixos e divisão central; 6: médio solto com divisão central e sem franja reta. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 4 é estreito e comprido com queixo muito pontudo; 5 tem contorno triangular mais moderado; 3 é largo/arredondado. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (2) - exemplos femininos.png",1676285,cd9975b185d8842ef075c4e6fca4739717ab552ae8cbb5bafff14fc0370291d0
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (3) - exemplos femininos.png","Três combinações femininas com olho 3, rostos e cabelos selecionados","Íris quase preta com aro cinza muito escuro, pupila preta e reflexo branco; esclera mais rosada nas laterais. Mais íris exposta que no olho 1. Da esquerda para a direita: rosto 1 + corte 7 + olho 3; rosto 2 + corte 8 + olho 3; rosto 3 + corte 9 + olho 3. Corte 7: cacheado curto em pequenos cachos volumosos; 8: médio com cachos/ondas em espiral; 9: afro grande arredondado. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 1 é mais estreito/oval e de queixo menor; 2 tem contorno de mandíbula mais amplo; 3 é mais arredondado e largo. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (3) - exemplos femininos.png",1665440,b1e6cc61926717121b2e43c45344d9cfdff3fc1e043606037d0d6b10f8b584c8
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (4) - exemplos femininos.png","Três combinações femininas com olho 4, rostos e cabelos selecionados","Íris azul escura, pupila preta e aro externo escuro; abertura maior e mais arredondada que no olho 1, ainda parcialmente coberta acima. Da esquerda para a direita: rosto 4 + corte 10 + olho 4; rosto 5 + corte 11 + olho 4; rosto 3 + corte 12 + olho 4. Corte 10: longo ondulado de um lado e lateral raspada; 11: curto com topo de cachos e desenhos claros na lateral raspada; 12: longo ondulado, dividido próximo ao centro. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 4 é estreito e comprido com queixo muito pontudo; 5 tem contorno triangular mais moderado; 3 é largo/arredondado. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (4) - exemplos femininos.png",1685228,8b2cae42ebe7de4e5709a06208455a6216ce8084f149ff3dbae765f7c010d1a5
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (5) - exemplos femininos.png","Três combinações femininas com olho 5, rostos e cabelos selecionados","Íris castanho escura, abertura amendoada com cantos afunilados, borda inferior de pele fina contornando o globo e cobertura superior arqueada. Da esquerda para a direita: rosto 4 + corte 1 + olho 5; rosto 5 + corte 2 + olho 5; rosto 3 + corte 3 + olho 5. Retoma cortes 1/2/3: curto assimétrico, longo em camadas com franja e rabo lateral; muda os rostos 1/2 usados no olho 1 para 4/5. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 4 é estreito e comprido com queixo muito pontudo; 5 tem contorno triangular mais moderado; 3 é largo/arredondado. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (5) - exemplos femininos.png",1705202,769af85599eced44b09f3194ae482d4a903000ed7d87d57eb3a896910996d6be
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (6) - exemplos femininos.png","Três combinações femininas com olho 6, rostos e cabelos selecionados","Íris bege/marrom muito clara, maior abertura quase circular; pálpebras retraídas expõem praticamente toda a íris, com esclera clara ao redor. Da esquerda para a direita: rosto 1 + corte 4 + olho 6; rosto 2 + corte 5 + olho 6; rosto 3 + corte 6 + olho 6. Retoma cortes 4/5/6: bob com franja, dois rabos baixos e médio dividido ao centro; usa rostos 1/2/3, distintos de 4/5/3 do olho 2. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 1 é mais estreito/oval e de queixo menor; 2 tem contorno de mandíbula mais amplo; 3 é mais arredondado e largo. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. Olhos grandes/arregalados aparecem nas três montagens; as bases inferiores não trazem medidas nem marcação de encaixe especial equivalente à série masculina.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (6) - exemplos femininos.png",1654397,b19f9bd17e68412b60e625cf249be7d7c7ede844fde7d9a32e93ee13ddb527b6
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (7) - exemplos femininos.png","Três combinações femininas com olho 7, rostos e cabelos selecionados","Íris azul piscina/ciano muito clara e pupila preta; abertura grande quase circular como no 6, com olheira arroxeada sob o olho. Da esquerda para a direita: rosto 4 + corte 7 + olho 7; rosto 5 + corte 8 + olho 7; rosto 3 + corte 9 + olho 7. Retoma cortes 7/8/9: cacheado curto, cachos em espiral médios e afro grande; usa rostos 4/5/3, distintos de 1/2/3 do olho 3. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 4 é estreito e comprido com queixo muito pontudo; 5 tem contorno triangular mais moderado; 3 é largo/arredondado. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. Olhos grandes/arregalados aparecem nas três montagens; as bases inferiores não trazem medidas nem marcação de encaixe especial equivalente à série masculina.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (7) - exemplos femininos.png",1730250,d898df85aca5683b79f8d76f8d7b6f96f80588dc542c6feebac4a434c656154e
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos/olho (8) - exemplos femininos.png","Três combinações femininas com olho 8, rostos e cabelos selecionados","Íris azul clara/gelo com aro azul acinzentado; pálpebra superior baixa e abertura semicerrada como no 1. Olheiras roxas escuras e acentuadas. Da esquerda para a direita: rosto 1 + corte 10 + olho 8; rosto 2 + corte 11 + olho 8; rosto 3 + corte 12 + olho 8. Retoma cortes 10/11/12: lateral raspada com longo assimétrico, curto com desenhos laterais e longo ondulado; usa rostos 1/2/3, distintos de 4/5/3 do olho 4. Estrutura de três linhas: cabelo isolado frontal/levemente em três quartos, cabeça montada predominantemente frontal, padrão de rosto sem cabelo/olhos em três quartos. Rosto 1 é mais estreito/oval e de queixo menor; 2 tem contorno de mandíbula mais amplo; 3 é mais arredondado e largo. As bases femininas inferiores preservam um nariz pequeno integrado visualmente; ao contrário das bases masculinas dos exemplos, não mostram o mesmo bloco retangular de indicação nasal. O olhar é deslocado lateralmente ou para cima em parte das montagens; é pose visual, não evidência de outra variante de globo.","São três combinações selecionadas, não uma matriz exaustiva de todos os rostos, cabelos e olhos. O corte tem seu próprio número; 'cabeça feminina N' nesta prancha acompanha o rosto N, não necessariamente o corte N. Sem vistas posteriores, cortes internos, espessura de cabelo, soquetes, medidas ou rig; compatibilidade 3D permanece não testada. Cores/aberturas e proporções sofrem pequenas variações de renderização; não extrair medidas exatas nem presumir identidade de malha a partir do rótulo.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Femininas — Olhos, Rostos e Cabelos\olho (8) - exemplos femininos.png",1709945,d2615ec8b757bd7f565dc3d311d51c07a1159e000d3acf4f2916eb4868f0bf05
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Masculinas Olhos,Rostos e Cabelos/Combinação 1.png",Prancha masculina olho1 com cabelos1/2/3 e rostos1/2/3,"Correspondências: olho1+cabelo1+rosto1; olho1+cabelo2+rosto2; olho1+cabelo3+rosto3. Cabelo1 BAGUNÇADO1: mechas largas assimétricas inclinadas lateralmente; cabelo2 BAGUNÇADO2: mechas mais radiais e franja serrilhada; cabelo3 HI FADE: topo curto texturizado e laterais baixas em degradê. Olho1 tem abertura semicerrada, íris castanha e aspecto cansado/desconfiado; sobrancelhas grossas anguladas aparecem separadas acima. Módulos superiores são cascas de cabelo com região interna inferior escura; bases inferiores exibem órbitas vazias e bloco nasal claro. Geometria de cabelos muda claramente, cor permanece castanha.",Olho1 não está isolado nesta prancha; não define fronteira entre globo/pálpebras/sobrancelhas/pele. Base e montagem têm vistas diferentes. As cascas não mostram traseira/perfil completo nem interior mensurável. Não comprova cabelo imóvel ao trocar bases.,"C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Masculinas Olhos,Rostos e Cabelos\Combinação 1.png",1638998,d3676769a5b5b643858a5c36f57c097fb6bd4fa47e94a57b443f4f1d9caba7b0
"Cabeça & Rosto/Combinações de Cabeças/Combinações de Cabeças Masculinas Olhos,Rostos e Cabelos/Combinação 2.png",Prancha masculina olho1 com cabelos3/4/5 e rostos3/4/5,"Correspondências: olho1+cabelo3+rosto3; olho1+cabelo4+rosto4; olho1+cabelo5+rosto5. Cabelo3 HI FADE reaparece; cabelo4 CARECA é explicitamente descrito SEM CABELO / NENHUM MÓDULO. Cabelo5 MOICANO: faixa central de pontas altas; imagem isolada mostra também casca lateral escura, enquanto montagem mostra laterais de pele aparente. É preciso decidir o que integra o módulo final. Olhos1 semicerrados/castanhos permanecem; bases rotuladas3/4/5 mudam contorno inferior. Barba, boca, orelhas e pescoço são contexto presente.","Careca deve poder ser ausência de cabelo no catálogo, não exigir geometria fictícia. Diferença visual entre casca isolada do moicano e lateral exposta na montagem precisa ser resolvida ao construir. Sem vista traseira/perfil, medidas ou encaixe comprovado.","C:\Users\xandao\Desktop\Trabalho\projetos pessoais\RCL\modelos 3d\personagem base\Imagem base\Cabeça & Rosto\Combinações de Cabeças\Combinações de Cabeças Masculinas Olhos,Rostos e Cabelos\Combinação 2.png",1623045,87ef932b7fda538c65d4f64adcd66c0a1c9d5edffa9db157d3fe0d26c87597f2
